firm,weight,sector
UHS,0.006418316870303243,Health Care
SPGI,-0.001205485458963824,Financials
MCHP,0.013799930864198484,Information Technology
ROP,0.0,Industrials
GIS,0.035726409656492625,Consumer Staples
LRCX,-0.0,Information Technology
ADI,0.0,Information Technology
AEE,-0.0,Utilities
HRL,0.04610439289295194,Consumer Staples
GILD,0.0,Health Care
PCG,0.0,Utilities
GHC,0.0032926875299442286,Consumer Staples
KMX,0.0,Consumer Discretionary
VFC,0.015774211699197283,Consumer Discretionary
BXP,0.0,Real Estate
YUM,0.0,Consumer Discretionary
XRX,0.0,Information Technology
VTR,-0.0,Real Estate
IBM,0.0286286212409764,Information Technology
NUE,-0.0,Materials
AET,-0.0,
NOV,-0.015459698979793735,Energy
EXC,-0.0,Utilities
JCI,0.0,Industrials
LLY,-0.0,Health Care
HST,-0.03036095636799104,Real Estate
AZO,0.01950636599656902,Financials
IRM,0.0,Real Estate
PEG,-0.011321874614597082,Utilities
VLO,0.0,Energy
INTU,0.0,Information Technology
KO,0.0,Consumer Staples
APD,0.0,Materials
NFLX,0.001571864822376396,Communication Services
CHRW,0.0,Industrials
USB,0.03202381719907092,Financials
DIS,-0.0,Communication Services
ITT,0.0,Industrials
AMD,-0.0,Information Technology
JNJ,0.0743120226982946,Health Care
ISRG,-0.0024036323150852692,Health Care
CMA,0.0,Financials
WMT,0.04511479420322124,Consumer Staples
RCL,-0.0048685841376842455,Consumer Discretionary
KBH,-0.0,Industrials
UNM,-0.015188146255769284,Financials
KSS,0.0,Consumer Discretionary
MMC,0.0,Financials
TAP,0.0051958330216058,Consumer Staples
CVX,-0.0,Energy
AKAM,0.0,Information Technology
IAC,0.026549893714397168,Communication Services
AME,0.0,Industrials
LEG,-0.0,Consumer Discretionary
AMT,0.0011829895742799087,Real Estate
MTW,-0.0037784778645901258,Industrials
WFC,0.0,Financials
PDCO,-0.0,Health Care
AVY,0.0,Industrials
SNA,-0.0,Industrials
EMN,0.0,Materials
BAX,0.0,Health Care
BLK,0.0,Financials
NTAP,-0.0,Information Technology
DE,0.010493386129875965,Industrials
MAS,-0.0,Industrials
ROK,-0.0,Industrials
UPS,0.0,Industrials
PVH,-0.0,Consumer Discretionary
LEN,0.0,Industrials
WDC,0.0,Information Technology
AON,0.027004698990396453,Financials
AAPL,0.002519830058917041,Information Technology
NSC,0.0,Industrials
EQT,-0.0,Energy
DXC,-0.0,Information Technology
RF,-0.0,Financials
ADBE,-0.0,Information Technology
K,0.034178968812027304,Consumer Staples
UNH,-0.008624044833571466,Health Care
HPQ,0.0,Information Technology
ETR,0.0,Utilities
BMS,0.0,
FTI,0.0,Energy
STX,0.00048253749944499703,Information Technology
HD,0.0,Consumer Discretionary
TJX,0.0,Consumer Discretionary
SYK,0.0,Health Care
IPG,-0.0,Communication Services
MAC,0.009002877759835591,Real Estate
JPM,-0.0,Financials
WM,0.0,Industrials
CCL,0.0,Consumer Discretionary
NFX,0.00683105658735532,
DDS,0.0010318580789948969,Consumer Discretionary
HAL,0.0,Energy
VIAV,0.0,Information Technology
DLTR,0.015307027758344156,Consumer Staples
ZBH,2.8983841990240995e-05,Health Care
EBAY,0.0,Consumer Discretionary
DGX,0.010770352020885037,Health Care
PHM,-0.0,Industrials
SVU,-0.0,
NDAQ,0.0,Financials
DOV,0.0,Industrials
MAT,-0.0,Consumer Discretionary
TSCO,0.0,Consumer Discretionary
MBI,-0.00039239444180475723,Financials
MET,-0.0,Financials
BIG,-0.0043273138078187435,Consumer Staples
MAR,0.0015948743797119375,Consumer Discretionary
TEX,-0.007373415655561845,Industrials
MNST,-0.0,Consumer Staples
ETN,0.0,Industrials
GD,0.0,
MU,-0.008159798812272983,Information Technology
SLM,0.0,Financials
DVN,0.0,Energy
APA,-0.0,Energy
EL,0.0,Consumer Staples
WEC,0.02404631616983565,Utilities
CPB,0.013950132886872833,Consumer Staples
FMC,-0.0,Materials
TSN,-0.003910568332447933,Consumer Staples
MHK,-0.0,Consumer Discretionary
CSCO,0.0,Information Technology
SWN,-0.0,Energy
COF,0.0,Financials
IVZ,-0.025803169431114586,Financials
CAH,0.0,Health Care
MSFT,0.0,Information Technology
GPS,-0.00223043695634286,Consumer Discretionary
NRG,0.0,Utilities
AFL,-0.0,Financials
AIZ,0.0,Financials
UNP,0.018772718487568098,Industrials
COP,0.0,Energy
QCOM,0.0,Information Technology
SNV,-0.0032852023770094476,Financials
AMG,0.0,Financials
REGN,-0.010999403929978271,Health Care
RIG,0.005662793657243188,Energy
LUV,0.0,Industrials
EFX,0.0,Industrials
STZ,-0.0,Consumer Staples
CCI,0.016490218741550874,Real Estate
DHI,0.0,Industrials
CINF,-0.0,Financials
AMZN,-0.0,Consumer Discretionary
PRU,-0.0064200811350224405,Financials
BBY,0.0,Consumer Discretionary
AES,-0.0,Utilities
A,-0.007447605949574197,Health Care
JNPR,0.0,Financials
ED,0.06561994648800726,Utilities
CB,-0.0,Financials
STT,-0.001943821637039495,Financials
KMG,0.012465082016908373,
PLD,-0.021928038107679904,Real Estate
NI,-0.0,Utilities
NTRS,-0.002732903272533029,Financials
MO,0.0,Consumer Staples
PWR,-0.003035367342564382,Industrials
CTSH,-0.003786816609909367,Information Technology
HSY,0.005164073845597278,Consumer Staples
PFG,-0.012853436378554284,Financials
SRE,-0.0,Utilities
LH,0.036111860155498436,Health Care
R,-0.0,Information Technology
CI,-0.0,Health Care
PNC,0.0046076838925856855,Financials
OKE,-0.0,Financials
CLX,0.049914586356226226,Consumer Staples
GWW,0.0,Industrials
PFE,-0.0,Health Care
TGNA,0.0012785429316532818,Communication Services
FIS,0.0,Information Technology
M,-0.012372338460158078,Consumer Discretionary
AEP,-0.0,Utilities
TGT,0.0,Consumer Staples
FOSL,-0.006287516777233633,Consumer Discretionary
GME,-0.0,Consumer Discretionary
F,0.00410216177506948,Consumer Discretionary
DRI,-0.0,Consumer Discretionary
HP,0.0,Energy
FFIV,0.001990116827466238,Financials
VNO,0.0,Real Estate
MOS,0.0,Materials
CAT,0.0,Industrials
BK,-0.008566824758699073,Financials
MMM,0.0,Industrials
CAG,0.04519701719875579,Consumer Staples
SLB,-0.0,Energy
PG,0.0,Consumer Staples
LNC,-0.004135540077381829,Financials
PAYX,0.0055201101071460906,Industrials
ES,-0.0,Utilities
CME,0.0,Financials
T,0.0,Communication Services
TRV,-0.006502177985703034,Financials
HRB,-0.0008166536761361982,Consumer Discretionary
COST,0.0,Consumer Staples
OXY,-0.0,Energy
SO,0.036463457147555466,Utilities
JWN,0.0,Consumer Discretionary
MTB,0.008916621426363657,Financials
MCD,0.03341477441633984,Consumer Discretionary
DD,-3.243579867391802e-05,Materials
ADSK,-0.0,Information Technology
WMB,-0.003106112073513196,Energy
L,-0.0,Financials
MSI,-0.0,Information Technology
FLS,-0.0,Industrials
URBN,-0.0,Consumer Discretionary
MRK,-0.0,Health Care
GPC,0.0,Consumer Discretionary
GLW,0.005523910511554841,Information Technology
EIX,-0.005308148689334737,Utilities
FAST,-0.003754808820521192,Industrials
ADP,0.0,Industrials
VMC,-0.0,Materials
CMI,-0.0,Industrials
MRO,-0.002064403081257491,Energy
AN,-0.0,Consumer Discretionary
ATI,-0.0035872322287156017,Industrials
HON,-0.0,Financials
GT,-0.003516709444770756,Consumer Discretionary
NEM,0.037140190433328085,Materials
FE,-0.0,Utilities
FLR,0.0,Industrials
FDX,-0.0,Industrials
SWK,0.0,Industrials
ESS,0.0,Real Estate
PTC,-0.0005071185568518682,Information Technology
RL,0.0,Consumer Discretionary
MCO,-0.006155813113456892,Financials
TWX,-0.003648712159191958,
ASH,-0.0,Materials
RRC,0.0,Energy
BEN,-0.024910053009790583,Financials
AIV,-0.0,Real Estate
APH,-0.0022383620865285055,Information Technology
PPG,-0.0,Materials
SPG,0.0,Real Estate
SFA,0.019045756497525365,
ITW,0.0,Industrials
URI,-0.0,Industrials
CLF,-0.02127532015677,Materials
AXP,-0.0,Financials
CCU,0.028618457255607035,Consumer Staples
BDX,0.012792277166253033,Health Care
NVDA,-0.0,Information Technology
GS,0.0,Financials
LOW,-0.0,Consumer Discretionary
CNP,-0.0,Utilities
TT,-0.0,Industrials
FCX,-0.0,Materials
SSP,-0.0,Communication Services
XRAY,0.0,Health Care
CMCSA,-0.000871196865446127,Communication Services
CVG,0.1657073330524854,
XOM,-0.0,Energy
AVB,-0.0,Real Estate
CNX,-0.0,Energy
MLM,0.0,Materials
EOG,-0.0,Energy
BIIB,0.0,Health Care
VZ,0.012121071310111673,Communication Services
HAS,0.023140136672636886,Consumer Discretionary
WAT,0.0,Health Care
XEL,0.0,Utilities
VRSN,0.0,Information Technology
LMT,0.0,Industrials
PGR,-0.0,Financials
HOG,-0.0,Consumer Discretionary
KMB,0.013110734210689088,Consumer Staples
BA,-0.0,Industrials
ORLY,0.0,Consumer Discretionary
ALL,-0.0,Financials
AMGN,0.0,Health Care
BAC,0.0,Financials
WEN,0.0,Consumer Discretionary
RSG,0.0,Industrials
ANF,-0.0,Consumer Discretionary
SANM,-0.007969747003606031,Information Technology
MDLZ,0.007697166984122985,Consumer Staples
PH,-0.0,Industrials
TROW,-0.012580125742257968,Financials
GOOG,0.0041567382261136435,Communication Services
MCK,-0.0,Health Care
TER,-0.0,Information Technology
SRCL,0.0,Industrials
PNR,0.0,Industrials
ANDV,-0.00600685233546046,
WHR,0.015937053583567926,Consumer Discretionary
IFF,0.002304045438858425,Materials
SYY,0.0,Consumer Staples
NKE,0.0,Consumer Discretionary
CL,0.0,Consumer Staples
JBL,-0.006957095169298485,Information Technology
ADM,-0.0,Consumer Staples
SJM,0.017546438496381683,Consumer Staples
KR,0.011910180039555173,Consumer Staples
CMS,0.0,Utilities
WELL,0.04455181931009569,Real Estate
GE,0.004193074792944526,Industrials
CVS,0.0015064650257559688,Health Care
BMY,0.0,Health Care
EMR,-0.0,Industrials
IGT,-0.0,Consumer Discretionary
DHR,0.0,Health Care
HUM,-0.0,Health Care
ECL,0.0,Materials
PPL,0.0,Utilities
RHI,-0.0,Industrials
PBI,0.0,Industrials
NOC,0.0,Industrials
CIEN,0.0027893583960538564,Information Technology
DTE,-0.0,Utilities
PCAR,-0.02861805090286537,Industrials
EXPD,-0.0,Industrials
NEE,-0.0,Utilities
PEP,0.061159251139485823,Consumer Staples
CRM,-0.0,Information Technology
KIM,0.0,Real Estate
NWL,-0.0,Consumer Staples
MDT,0.0,Health Care
HES,-0.0,Energy
TXN,0.00504953986009707,Information Technology
ESRX,-0.0,
SEE,0.0,Consumer Discretionary
OI,-0.0,Consumer Discretionary
MKC,0.0,Consumer Staples
X,-0.001933709993446661,Materials
INTC,-0.0,Information Technology
PSA,0.0,Real Estate
SBUX,-0.0011265006510753283,Consumer Discretionary
OMC,0.0,Communication Services
PXD,-0.0,Financials
BKNG,0.0,Consumer Discretionary
EQR,0.0,Real Estate
CTAS,-0.0,Industrials
ABT,0.0029463957890007767,Health Care
ORCL,-0.0,Information Technology
NYT,0.0009683567339505919,Communication Services
KLAC,0.0,Information Technology
TMO,0.0,Health Care
TPR,-0.009553424502910707,Consumer Discretionary
EA,0.00788451259618517,Communication Services
TXT,-0.0,Industrials
ZION,0.011701455755145938,Financials
LPX,-0.004051699667668947,Industrials
DUK,0.0,Utilities
JEF,0.0,Financials
PRGO,0.0052186206691237,Health Care
ROST,0.0,Consumer Discretionary
CSX,-0.0,Industrials
D,0.0,Utilities
AMAT,0.0,Information Technology
WY,-0.0,Consumer Discretionary
SHW,0.004183997817236849,Materials
BSX,-0.00526524461219224,
WYNN,-0.0,Consumer Discretionary
BWA,0.0,Consumer Discretionary
IP,0.0,Consumer Discretionary
PNW,0.0,Utilities
SCHW,-0.0,Financials
GRMN,0.004893307283762523,Information Technology
WBA,0.0,Health Care
NBR,0.0,Energy
DVA,0.015902355876546394,Health Care
ATGE,0.0,Consumer Staples
MUR,0.0008283389348060692,Energy
ACN,0.010216012696473811,Information Technology
EW,0.01686026360349224,Health Care
FHN,-0.018180831182658785,Financials
