firm,weight,sector
FL,0.005200250333330471,Consumer Discretionary
SCI,-0.0018956543838963766,Consumer Discretionary
SPGI,0.01681507696710447,Financials
MCHP,0.005532131154446673,Information Technology
GIS,0.07774048040759433,Consumer Staples
ADI,0.0027844439889266603,Information Technology
AEE,0.06364284559155778,Utilities
GILD,-0.0064832435839882255,Health Care
PCG,0.001605080604343894,Utilities
GHC,0.058298930816908734,Consumer Staples
VFC,0.017170769322422667,Consumer Discretionary
BXP,0.0441183701033357,Real Estate
YUM,0.0014799276370785486,Consumer Discretionary
XRX,-0.004090234946686195,Information Technology
IBM,0.02976079832764645,Information Technology
NUE,-0.005871265729653671,Materials
AET,-0.00143259650008908,
NOV,-0.007708005624078942,Energy
CAR,-0.0031149967079823794,Industrials
EXC,0.008434439676418222,Utilities
JCI,0.0010936109056436422,Industrials
LLY,0.007366527953454596,Health Care
HST,-0.0007048412301600936,Real Estate
AZO,0.008793703777124916,Financials
PEG,-0.02973664274067347,Utilities
OMX,0.007726963630959648,
VLO,0.002703627626681103,Energy
INTU,-0.0027215106826526166,Information Technology
KO,0.004511741608445412,Consumer Staples
APD,-0.0015585032040019119,Materials
CHRW,-0.001957358397316252,Industrials
USB,0.008057873951924045,Financials
DIS,0.0007697947265651872,Communication Services
ITT,0.011506551661076926,Industrials
AMD,-0.006767220334771293,Information Technology
MS,0.0003038013839622676,Financials
JNJ,0.025777499216029336,Health Care
CMA,0.014641320668194078,Financials
WMT,0.01589143901558352,Consumer Staples
KBH,-0.008838701071801899,Industrials
UNM,0.0012145901672558934,Financials
KSS,0.0005496092948485765,Consumer Discretionary
MMC,0.01065993455721747,Financials
TAP,0.01305702722607759,Consumer Staples
CVX,0.054154164937632684,Energy
IAC,-0.016451046127819793,Communication Services
LEG,0.0007940027857824992,Consumer Discretionary
AMT,0.0030408088472863876,Real Estate
MTG,0.006705614088045025,Financials
MTW,-0.010081808578645235,Industrials
WFC,0.007450194777946375,Financials
PDCO,0.009004035035946654,Health Care
AVY,0.003890591097396494,Industrials
SNA,0.0024104831107623426,Industrials
EMN,-0.01984548330836726,Materials
WOR,-0.0037550104495914643,Industrials
BAX,0.0052984903547501645,Health Care
NTAP,-0.006283050129742955,Information Technology
DE,0.016104017189732894,Industrials
TUP,-0.0015039475255769381,Consumer Discretionary
MAS,0.0037582959544291313,Industrials
ROK,-0.015905169166467985,Industrials
LEN,-0.004991755995780567,Industrials
AON,-0.004408380118263499,Financials
TIE,0.008110453621713642,
FITB,0.0006808143624118662,Financials
AAPL,0.0033141210823626572,Information Technology
NSC,-0.01783281013223786,Industrials
DXC,0.003738254646473479,Information Technology
RF,-0.012472784289507308,Financials
ADBE,-0.009217676468356596,Information Technology
K,0.013795628893439583,Consumer Staples
UNH,0.007437493837025126,Health Care
HPQ,0.0010464939023118128,Information Technology
ETR,-0.0037042637077364955,Utilities
BMS,0.013130633351687484,
HD,-0.019017640317771502,Consumer Discretionary
TJX,0.00814234739740406,Consumer Discretionary
SYK,-0.007009371448336648,Health Care
IPG,-0.005586493122737954,Communication Services
JPM,-0.023494822172984892,Financials
WM,0.019711146200895934,Industrials
CCL,-0.009699343003216959,Consumer Discretionary
